Type,Part Number,Brand,Model,Rank,Benchmark,Samples,URL,part_id,memory_type,capacity_gb_total_est,speed_mhz_est,module_count_est,market_status,inference_confidence,price_krw_estimate,price_basis,price_currency,price_reference_date,data_warning,compatible_motherboard_ids
RAM,F5-6000J3038F16GX2-TZ5N,G.SKILL,TZ/RJ/FX DDR5 6000 C30 2x16GB,4,225,26882,https://ram.userbenchmark.com/SpeedTest/1931932/Unknown-F5-6000J3038F16G-2x16GB,RAM_0011,DDR5,32,6000,2,current_or_recent,medium,700000,capacity/speed price-per-GB heuristic,KRW,2026-05,Estimated Korean market representative price; verify live prices before checkout.,MB_AM5_B650M_001|MB_AM5_B650_002|MB_AM5_X670E_003|MB_AM5_B850_004|MB_AM5_X870E_005|MB_LGA1700_B760_D5_011|MB_LGA1700_Z790_D5_012|MB_LGA1851_B860_014|MB_LGA1851_Z890_015|MB_sTR5_TRX50_019
RAM,CMH64GX5M2B6400C32,Corsair,Vengeance RGB DDR5 6400 C32 2x32GB,5,207,3673,https://ram.userbenchmark.com/SpeedTest/2108041/Corsair-CMH64GX5M2B6400C32-2x315GB,RAM_0012,DDR5,64,6400,2,current_or_recent,medium,1400000,capacity/speed price-per-GB heuristic,KRW,2026-05,Estimated Korean market representative price; verify live prices before checkout.,MB_AM5_B650M_001|MB_AM5_B650_002|MB_AM5_X670E_003|MB_AM5_B850_004|MB_AM5_X870E_005|MB_LGA1700_B760_D5_011|MB_LGA1700_Z790_D5_012|MB_LGA1851_B860_014|MB_LGA1851_Z890_015|MB_sTR5_TRX50_019
RAM,F5-7200J3445G16GX2-TZ5RK,G.SKILL,TZ/RJ/FX DDR5 7200 C34 2x16GB,6,206,6967,https://ram.userbenchmark.com/SpeedTest/1955829/G-Skill-Intl-F5-7200J3445G16G-2x16GB,RAM_0013,DDR5,32,7200,2,current_or_recent,medium,820000,capacity/speed price-per-GB heuristic,KRW,2026-05,Estimated Korean market representative price; verify live prices before checkout.,MB_AM5_B650M_001|MB_AM5_B650_002|MB_AM5_X670E_003|MB_AM5_B850_004|MB_AM5_X870E_005|MB_LGA1700_B760_D5_011|MB_LGA1700_Z790_D5_012|MB_LGA1851_B860_014|MB_LGA1851_Z890_015|MB_sTR5_TRX50_019
RAM,F5-7200J3445G16GX2-TZ5RW,G.SKILL,TZ/RJ/FX DDR5 7200 C34 2x16GB,6,206,6967,https://ram.userbenchmark.com/SpeedTest/1955829/G-Skill-Intl-F5-7200J3445G16G-2x16GB,RAM_0014,DDR5,32,7200,2,current_or_recent,medium,820000,capacity/speed price-per-GB heuristic,KRW,2026-05,Estimated Korean market representative price; verify live prices before checkout.,MB_AM5_B650M_001|MB_AM5_B650_002|MB_AM5_X670E_003|MB_AM5_B850_004|MB_AM5_X870E_005|MB_LGA1700_B760_D5_011|MB_LGA1700_Z790_D5_012|MB_LGA1851_B860_014|MB_LGA1851_Z890_015|MB_sTR5_TRX50_019
RAM,F5-7200J3445G16GX2-TR5S,G.SKILL,TZ/RJ/FX DDR5 7200 C34 2x16GB,6,206,6967,https://ram.userbenchmark.com/SpeedTest/1955829/G-Skill-Intl-F5-7200J3445G16G-2x16GB,RAM_0015,DDR5,32,7200,2,current_or_recent,medium,820000,capacity/speed price-per-GB heuristic,KRW,2026-05,Estimated Korean market representative price; verify live prices before checkout.,MB_AM5_B650M_001|MB_AM5_B650_002|MB_AM5_X670E_003|MB_AM5_B850_004|MB_AM5_X870E_005|MB_LGA1700_B760_D5_011|MB_LGA1700_Z790_D5_012|MB_LGA1851_B860_014|MB_LGA1851_Z890_015|MB_sTR5_TRX50_019
RAM,F5-6400J3239G32GX2-TZ5RK,G.SKILL,TZ/RJ/FX DDR5 6400 C32 2x32GB,7,204,10639,https://ram.userbenchmark.com/SpeedTest/1963529/G-Skill-Intl-F5-6400J3239G32G-2x315GB,RAM_0016,DDR5,64,6400,2,current_or_recent,medium,1400000,capacity/speed price-per-GB heuristic,KRW,2026-05,Estimated Korean market representative price; verify live prices before checkout.,MB_AM5_B650M_001|MB_AM5_B650_002|MB_AM5_X670E_003|MB_AM5_B850_004|MB_AM5_X870E_005|MB_LGA1700_B760_D5_011|MB_LGA1700_Z790_D5_012|MB_LGA1851_B860_014|MB_LGA1851_Z890_015|MB_sTR5_TRX50_019
RAM,F5-6400J3239G32GX2-RS5K,G.SKILL,TZ/RJ/FX DDR5 6400 C32 2x32GB,7,204,10639,https://ram.userbenchmark.com/SpeedTest/1963529/G-Skill-Intl-F5-6400J3239G32G-2x315GB,RAM_0017,DDR5,64,6400,2,current_or_recent,medium,1400000,capacity/speed price-per-GB heuristic,KRW,2026-05,Estimated Korean market representative price; verify live prices before checkout.,MB_AM5_B650M_001|MB_AM5_B650_002|MB_AM5_X670E_003|MB_AM5_B850_004|MB_AM5_X870E_005|MB_LGA1700_B760_D5_011|MB_LGA1700_Z790_D5_012|MB_LGA1851_B860_014|MB_LGA1851_Z890_015|MB_sTR5_TRX50_019
RAM,F5-6400J3239G32GX2-TR5S,G.SKILL,TZ/RJ/FX DDR5 6400 C32 2x32GB,7,204,10639,https://ram.userbenchmark.com/SpeedTest/1963529/G-Skill-Intl-F5-6400J3239G32G-2x315GB,RAM_0018,DDR5,64,6400,2,current_or_recent,medium,1400000,capacity/speed price-per-GB heuristic,KRW,2026-05,Estimated Korean market representative price; verify live prices before checkout.,MB_AM5_B650M_001|MB_AM5_B650_002|MB_AM5_X670E_003|MB_AM5_B850_004|MB_AM5_X870E_005|MB_LGA1700_B760_D5_011|MB_LGA1700_Z790_D5_012|MB_LGA1851_B860_014|MB_LGA1851_Z890_015|MB_sTR5_TRX50_019
RAM,F5-6400J3239G16GA2-TZ5RS,G.SKILL,TZ/RJ/FX DDR5 6400 C32 2x16GB,8,187,18403,https://ram.userbenchmark.com/SpeedTest/1770998/G-Skill-Intl-F5-6400J3239G16G-2x16GB,RAM_0019,DDR5,32,6400,2,current_or_recent,medium,700000,capacity/speed price-per-GB heuristic,KRW,2026-05,Estimated Korean market representative price; verify live prices before checkout.,MB_AM5_B650M_001|MB_AM5_B650_002|MB_AM5_X670E_003|MB_AM5_B850_004|MB_AM5_X870E_005|MB_LGA1700_B760_D5_011|MB_LGA1700_Z790_D5_012|MB_LGA1851_B860_014|MB_LGA1851_Z890_015|MB_sTR5_TRX50_019
RAM,F5-6400J3239G16GA2-TZ5S,G.SKILL,TZ/RJ/FX DDR5 6400 C32 2x16GB,8,187,18403,https://ram.userbenchmark.com/SpeedTest/1770998/G-Skill-Intl-F5-6400J3239G16G-2x16GB,RAM_0020,DDR5,32,6400,2,current_or_recent,medium,700000,capacity/speed price-per-GB heuristic,KRW,2026-05,Estimated Korean market representative price; verify live prices before checkout.,MB_AM5_B650M_001|MB_AM5_B650_002|MB_AM5_X670E_003|MB_AM5_B850_004|MB_AM5_X870E_005|MB_LGA1700_B760_D5_011|MB_LGA1700_Z790_D5_012|MB_LGA1851_B860_014|MB_LGA1851_Z890_015|MB_sTR5_TRX50_019
